x,y1,y2,y3
0.384919,1.12166,1.85846,0.963832
0.38571,1.12166,1.85846,0.963832
0.3865,1.12166,1.85846,0.963832
0.387291,1.1236,1.86596,0.963704
0.388081,1.1236,1.86596,0.963704
0.388871,1.1236,1.86596,0.963704
0.389662,1.1236,1.86596,0.963704
0.390452,1.12556,1.87347,0.963579
0.391242,1.12556,1.87347,0.963579
0.392033,1.12556,1.87347,0.963579
0.392823,1.12556,1.87347,0.963579
0.393614,1.12753,1.881,0.963458
0.394404,1.12753,1.881,0.963458
0.395194,1.12753,1.881,0.963458
0.395985,1.12753,1.881,0.963458
0.396775,1.12951,1.88853,0.96334
0.397566,1.12951,1.88853,0.96334
0.398356,1.12951,1.88853,0.96334
0.399146,1.12951,1.88853,0.96334
0.399937,1.13151,1.89608,0.963225
0.400727,1.13151,1.89608,0.963225
0.401518,1.13151,1.89608,0.963225
0.402308,1.13151,1.89608,0.963225
0.403098,1.13353,1.90365,0.963113
0.403889,1.13353,1.90365,0.963113
0.404679,1.13353,1.90365,0.963113
0.405469,1.13353,1.90365,0.963113
0.40626,1.13556,1.91122,0.963005
0.40705,1.13556,1.91122,0.963005
0.407841,1.13556,1.91122,0.963005
0.408631,1.13556,1.91122,0.963005
0.409421,1.1376,1.91881,0.9629
0.410212,1.1376,1.91881,0.9629
0.411002,1.1376,1.91881,0.9629
0.411793,1.1376,1.91881,0.9629
0.412583,1.13966,1.92641,0.962799
0.413373,1.13966,1.92641,0.962799
0.414164,1.13966,1.92641,0.962799
0.414954,1.13966,1.92641,0.962799
0.415745,1.14173,1.93402,0.962701
0.416535,1.14173,1.93402,0.962701
0.417325,1.14173,1.93402,0.962701
0.418116,1.14173,1.93402,0.962701
0.418906,1.14382,1.94165,0.962606
0.419696,1.14382,1.94165,0.962606
0.420487,1.14382,1.94165,0.962606
0.421277,1.14382,1.94165,0.962606
0.422068,1.14592,1.94928,0.962515
0.422858,1.14592,1.94928,0.962515
0.423648,1.14592,1.94928,0.962515
0.424439,1.14592,1.94928,0.962515
0.425229,1.14804,1.95693,0.962427
0.42602,1.14804,1.95693,0.962427
0.42681,1.14804,1.95693,0.962427
0.4276,1.14804,1.95693,0.962427
0.428391,1.15017,1.9646,0.962343
0.429181,1.15017,1.9646,0.962343
0.429972,1.15017,1.9646,0.962343
0.430762,1.15017,1.9646,0.962343
0.431552,1.15232,1.97228,0.962262
0.432343,1.15232,1.97228,0.962262
0.433133,1.15232,1.97228,0.962262
0.433923,1.15232,1.97228,0.962262
0.434714,1.15448,1.97997,0.962185
0.435504,1.15448,1.97997,0.962185
0.436295,1.15448,1.97997,0.962185
0.437085,1.15448,1.97997,0.962185
0.437875,1.15666,1.98767,0.962111
0.438666,1.15666,1.98767,0.962111
0.439456,1.15666,1.98767,0.962111
0.440247,1.15666,1.98767,0.962111
0.441037,1.15884,1.99539,0.962041
0.441827,1.15884,1.99539,0.962041
0.442618,1.15884,1.99539,0.962041
0.443408,1.15884,1.99539,0.962041
0.444199,1.16105,2.00312,0.961974
0.444989,1.16105,2.00312,0.961974
0.445779,1.16105,2.00312,0.961974
0.44657,1.16105,2.00312,0.961974
0.44736,1.16327,2.01086,0.961911
0.44815,1.16327,2.01086,0.961911
0.448941,1.16327,2.01086,0.961911
0.449731,1.16327,2.01086,0.961911
0.450522,1.1655,2.01862,0.961852
0.451312,1.1655,2.01862,0.961852
0.452102,1.1655,2.01862,0.961852
0.452893,1.1655,2.01862,0.961852
0.453683,1.16775,2.02639,0.961796
0.454474,1.16775,2.02639,0.961796
0.455264,1.16775,2.02639,0.961796
0.456054,1.16775,2.02639,0.961796
0.456845,1.17001,2.03418,0.961743
0.457635,1.17001,2.03418,0.961743
0.458426,1.17001,2.03418,0.961743
0.459216,1.17001,2.03418,0.961743
0.460006,1.17229,2.04198,0.961695
0.460797,1.17229,2.04198,0.961695
0.461587,1.17229,2.04198,0.961695
0.462377,1.17229,2.04198,0.961695
0.463168,1.17458,2.0498,0.96165
0.463958,1.17458,2.0498,0.96165
0.464749,1.17458,2.0498,0.96165
0.465539,1.17458,2.0498,0.96165
0.466329,1.17689,2.05763,0.961608
0.46712,1.17689,2.05763,0.961608
0.46791,1.17689,2.05763,0.961608
0.468701,1.17689,2.05763,0.961608
0.469491,1.17921,2.06547,0.961571
0.470281,1.17921,2.06547,0.961571
0.471072,1.17921,2.06547,0.961571
0.471862,1.17921,2.06547,0.961571
0.472653,1.18154,2.07333,0.961537
0.473443,1.18154,2.07333,0.961537
0.474233,1.18154,2.07333,0.961537
0.475024,1.18154,2.07333,0.961537
0.475814,1.1839,2.0812,0.961507
0.476604,1.1839,2.0812,0.961507
0.477395,1.1839,2.0812,0.961507
0.478185,1.1839,2.0812,0.961507
0.478976,1.18626,2.08909,0.96148
0.479766,1.18626,2.08909,0.96148
0.480556,1.18626,2.08909,0.96148
0.481347,1.18626,2.08909,0.96148
0.482137,1.18864,2.09699,0.961458
0.482928,1.18864,2.09699,0.961458
0.483718,1.18864,2.09699,0.961458
0.484508,1.18864,2.09699,0.961458
0.485299,1.19103,2.10491,0.961439
0.486089,1.19103,2.10491,0.961439
0.48688,1.19103,2.10491,0.961439
0.48767,1.19103,2.10491,0.961439
0.48846,1.19344,2.11284,0.961424
0.489251,1.19344,2.11284,0.961424
0.490041,1.19344,2.11284,0.961424
0.490831,1.19344,2.11284,0.961424
0.491622,1.19586,2.12078,0.961413
0.492412,1.19586,2.12078,0.961413
0.493203,1.19586,2.12078,0.961413
0.493993,1.19586,2.12078,0.961413
0.494783,1.1983,2.12875,0.961406
0.495574,1.1983,2.12875,0.961406
0.496364,1.1983,2.12875,0.961406
0.497155,1.1983,2.12875,0.961406
0.497945,1.20075,2.13672,0.961402
0.498735,1.20075,2.13672,0.961402
0.499526,1.20075,2.13672,0.961402
0.500316,1.20075,2.13672,0.961402
0.501107,1.20322,2.14472,0.961403
0.501897,1.20322,2.14472,0.961403
0.502687,1.20322,2.14472,0.961403
0.503478,1.20322,2.14472,0.961403
0.504268,1.2057,2.15272,0.961407
0.505058,1.2057,2.15272,0.961407
0.505849,1.2057,2.15272,0.961407
0.506639,1.2057,2.15272,0.961407
0.50743,1.2082,2.16075,0.961416
0.50822,1.2082,2.16075,0.961416
0.50901,1.2082,2.16075,0.961416
0.509801,1.2082,2.16075,0.961416
0.510591,1.21071,2.16879,0.961428
0.511382,1.21071,2.16879,0.961428
0.512172,1.21071,2.16879,0.961428
0.512962,1.21071,2.16879,0.961428
0.513753,1.21323,2.17684,0.961444
0.514543,1.21323,2.17684,0.961444
0.515334,1.21323,2.17684,0.961444
0.516124,1.21323,2.17684,0.961444
0.516914,1.21577,2.18491,0.961465
0.517705,1.21577,2.18491,0.961465
0.518495,1.21577,2.18491,0.961465
0.519285,1.21577,2.18491,0.961465
0.520076,1.21832,2.193,0.961489
0.520866,1.21832,2.193,0.961489
0.521657,1.21832,2.193,0.961489
0.522447,1.21832,2.193,0.961489
0.523237,1.22089,2.2011,0.961517
0.524028,1.22089,2.2011,0.961517
0.524818,1.22089,2.2011,0.961517
0.525609,1.22089,2.2011,0.961517
0.526399,1.22348,2.20922,0.96155
0.527189,1.22348,2.20922,0.96155
0.52798,1.22348,2.20922,0.96155
0.52877,1.22348,2.20922,0.96155
0.529561,1.22607,2.21736,0.961586
0.530351,1.22607,2.21736,0.961586
0.531141,1.22607,2.21736,0.961586
0.531932,1.22607,2.21736,0.961586
0.532722,1.22869,2.22551,0.961627
0.533512,1.22869,2.22551,0.961627
0.534303,1.22869,2.22551,0.961627
0.535093,1.22869,2.22551,0.961627
0.535884,1.23131,2.23368,0.961672
0.536674,1.23131,2.23368,0.961672
0.537464,1.23131,2.23368,0.961672
0.538255,1.23131,2.23368,0.961672
0.539045,1.23395,2.24186,0.961721
0.539836,1.23395,2.24186,0.961721
0.540626,1.23395,2.24186,0.961721
0.541416,1.23395,2.24186,0.961721
0.542207,1.23661,2.25006,0.961774
0.542997,1.23661,2.25006,0.961774
0.543788,1.23661,2.25006,0.961774
0.544578,1.23661,2.25006,0.961774
0.545368,1.23928,2.25828,0.961831
0.546159,1.23928,2.25828,0.961831
0.546949,1.23928,2.25828,0.961831
0.547739,1.23928,2.25828,0.961831
